
Processing asymmErrorsEff.c...
eff_50_120_barrel.root
eleTruthEta
OK
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.983285; errorLow = 0.00305225; errorHigh = 0.00261617; xbin 260
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 1; errorLow = 0.0923495; errorHigh = 0; xbin 300
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  1; errorLow = 0.0923495; errorHigh =  0; xbin 300
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.878619; errorLow = 0.0118962; errorHigh = 0.0110104; xbin 300
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.982183; errorLow = 0.00559385; errorHigh = 0.00438513; xbin 300
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 1; errorLow = 0.0972223; errorHigh = 0; xbin 340
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  1; errorLow = 0.0972223; errorHigh =  0; xbin 340
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.904077; errorLow = 0.0166694; errorHigh = 0.0145732; xbin 340
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.985612; errorLow = 0.0084951; errorHigh = 0.00569283; xbin 340
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 1; errorLow = 0.308024; errorHigh = 0; xbin 380
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  1; errorLow = 0.308024; errorHigh =  0; xbin 380
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.909091; errorLow = 0.0237297; errorHigh = 0.0195864; xbin 380
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.977273; errorLow = 0.0150821; errorHigh = 0.00978244; xbin 380
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 1; errorLow = 0.308024; errorHigh = 0; xbin 420
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  1; errorLow = 0.308024; errorHigh =  0; xbin 420
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.937984; errorLow = 0.0291624; errorHigh = 0.0211757; xbin 420
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.984496; errorLow = 0.0200824; errorHigh = 0.0100078; xbin 420
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 1; errorLow = 0.458642; errorHigh = 0; xbin 460
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  1; errorLow = 0.458642; errorHigh =  0; xbin 460
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.944444; errorLow = 0.0417498; errorHigh = 0.0263999; xbin 460
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.958333; errorLow = 0.0388735; errorHigh = 0.0225916; xbin 460
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 1; errorLow = 0.458642; errorHigh = 0; xbin 500
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  1; errorLow = 0.458642; errorHigh =  0; xbin 500
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.857143; errorLow = 0.0583877; errorHigh = 0.0451542; xbin 500
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.984127; errorLow = 0.0355535; errorHigh = 0.0131346; xbin 500
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 1; errorLow = 0.601684; errorHigh = 0; xbin 540
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  1; errorLow = 0.601684; errorHigh =  0; xbin 540
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.948718; errorLow = 0.0636668; errorHigh = 0.0330539; xbin 540
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 1; errorLow = 0.0461088; errorHigh = 0; xbin 540
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0; errorLow = 0; errorHigh = 1; xbin 580
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0; errorLow = 0; errorHigh =  1; xbin 580
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.846154; errorLow = 0.105033; errorHigh = 0.0721243; xbin 580
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 1; errorLow = 0.0683597; errorHigh = 0; xbin 580
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0; errorLow = 0; errorHigh = 1; xbin 620
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0; errorLow = 0; errorHigh =  1; xbin 620
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.916667; errorLow = 0.16652; errorHigh = 0.0690403; xbin 620
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 1; errorLow = 0.142229; errorHigh = 0; xbin 620
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0; errorLow = 0; errorHigh = 1; xbin 660
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0; errorLow = 0; errorHigh =  1; xbin 660
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  1; errorLow = 0.205568; errorHigh = 0; xbin 660
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 1; errorLow = 0.205568; errorHigh = 0; xbin 660
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0; errorLow = 0; errorHigh = 1; xbin 700
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0; errorLow = 0; errorHigh =  1; xbin 700
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.857143; errorLow = 0.257124; errorHigh = 0.11848; xbin 700
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 1; errorLow = 0.23126; errorHigh = 0; xbin 700
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0; errorLow = 0; errorHigh = 1; xbin 740
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0; errorLow = 0; errorHigh =  1; xbin 740
